NFCSID,A1(筛选value=1,A3,B2_1（整理所有B_2�?B2_2,B2_3,B2_4,B2_5,B2_7,B2_20,B2_21,B2_23,B2_24,B2_25,B30,B4_x,B10,C22_3,C24,D2,D21,D30,G1,G30_1,G30_2,G30_3,G7,S_Income,STATEQ,A50B,A5_2015,A7A,A8_2021,A9,A10,J1,J2,J4,J40,J51_1,J51_2,J51_3,J51_4,J51_5,J51_6,J51_98,J51_99,J52,J32,J33_40,J53,J41_1,J41_2,J41_3,J42_1,J42_2,J43,B1,B2,B4_y,C1_2012,C2_2012,EA_1,E7,E8,pay credit card in full,unpaid medical bill,too much debt,good at dealing with financial matters,financial knowledge,wgt_n2,wgt_d2,wgt_s3,
2021010428,1,1,2,2,1,2,2,2,2,2,2,2,2,4,7,3,3,3,3,1,3,8,1,3,1,1,3,10,9,6,2,7,2,2,9,8,3,1,,,,,,,,,2,5,5,5,2,1,3,5,2,4,1,1,2,1,3,1,1,2,1,2,3,7,6,1.186146098,2.543324264,0.788593257
2021010433,1,1,2,2,1,2,2,2,1,2,2,2,2,5,8,3,2,2,3,3,3,9,2,3,1,1,2,26,6,5,3,5,8,,9,4,3,1,1,0,1,0,0,0,0,0,2,4,1,3,1,1,1,5,1,3,1,1,2,1,,1,2,2,0,2,2,7,5,0.655220396,2.822227481,1.422603918
2021010434,1,1,1,2,1,1,2,2,2,2,1,2,2,3,6,2,3,1,3,1,1,8,3,3,2,1,2,33,3,7,1,6,2,4,9,8,3,2,0,0,1,1,1,0,0,0,2,4,2,4,1,1,1,5,5,4,1,1,2,1,2,1,1,2,1,2,2,6,6,2.350561466,1.425826082,0.954871209
2021010477,1,1,2,2,2,1,2,2,2,2,2,2,2,3,9,2,1,4,3,1,3,5,1,3,1,2,3,44,9,7,3,9,2,,9,7,3,1,,,,,,,,,2,5,2,4,1,1,2,5,2,3,1,1,2,1,,2,,,1,2,1,6,5,1.065213145,2.017330098,0.764793461
2021010536,1,1,1,2,2,2,2,2,2,2,2,2,2,4,6,2,3,1,3,1,3,10,3,3,1,1,2,34,2,6,2,5,2,2,7,7,3,1,0,0,1,1,0,0,0,0,2,5,1,4,1,1,3,5,1,3,1,1,2,1,1,1,2,2,0,2,1,7,5,0.969069933,1.145071735,0.73637086
2021010561,1,1,1,2,2,1,2,2,2,2,2,2,2,5,7,1,3,4,6,1,3,8,2,3,1,1,1,33,3,2,3,3,7,,3,10,3,1,1,0,0,1,0,0,0,0,2,5,3,4,5,1,3,2,3,2,1,2,2,1,,1,2,2,1,2,1,7,5,2.07814454,1.309656983,0.862864954
2021010574,1,1,1,2,2,1,2,2,2,1,2,2,2,3,2,2,1,1,6,1,3,9,2,3,2,1,2,30,3,6,1,5,2,2,7,9,3,1,0,1,0,0,0,0,0,0,1,5,2,5,3,1,3,3,2,3,1,1,2,1,3,1,1,2,0,2,5,5,6,0.348267377,0.447052706,0.731077248
2021010600,1,1,1,2,1,2,1,1,2,2,1,1,2,5,6,1,2,4,3,3,1,10,1,3,2,1,2,44,11,7,1,6,8,8,10,10,1,2,0,1,0,0,0,0,0,0,2,5,7,5,1,4,5,5,2,3,1,1,1,1,1,1,1,1,0,2,2,7,6,2.938338961,2.636674561,0.908174292
2021010601,1,1,1,2,2,2,2,2,1,2,2,2,2,1,3,3,2,6,4,1,1,8,2,2,3,2,1,50,8,6,1,4,4,4,8,8,3,2,1,0,0,0,0,0,0,0,2,4,6,4,4,4,3,4,3,4,1,1,2,1,2,2,,,1,1,2,5,5,1.517618226,0.658293923,0.913289226
2021010607,1,1,2,2,1,2,1,2,2,2,2,2,2,5,7,2,2,1,2,1,3,7,3,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2021010650,1,1,1,2,2,1,2,2,2,1,2,2,2,4,8,3,3,1,4,1,3,9,2,3,1,2,3,33,3,4,1,7,2,2,8,6,2,1,0,1,0,1,0,0,0,0,2,5,3,6,2,2,3,2,2,3,1,1,2,1,2,1,1,2,1,2,1,6,6,2.07814454,1.309656983,0.862864954
2021010681,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,1,2,6,4,1,1,8,3,3,3,1,2,33,8,6,1,6,2,2,10,7,1,1,1,0,1,0,1,0,0,0,1,1,7,6,5,5,4,5,5,4,1,1,2,1,1,1,1,1,1,1,4,5,7,2.070454902,1.378063173,0.94108932
2021010689,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,3,3,3,5,1,2,7,1,3,2,2,1,5,1,2,3,2,7,,8,7,3,2,,,,,,,,,2,4,5,3,3,4,2,3,2,3,1,1,2,2,,2,,,1,2,3,6,5,1.469934641,3.021932095,1.18460104
2021010697,1,1,1,2,2,1,2,2,2,1,2,2,2,5,10,2,3,4,4,2,3,8,2,3,2,1,3,44,3,7,1,9,2,4,9,9,3,2,0,0,0,1,0,0,0,0,2,5,2,4,1,1,2,5,2,4,1,1,2,1,1,1,1,2,0,2,3,6,7,2.809228002,2.537983142,0.880265661
2021010738,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,3,1,1,4,3,2,8,2,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2021010778,1,1,1,2,1,1,2,1,2,1,2,2,2,5,8,2,3,2,3,1,2,8,3,2,1,2,2,39,3,4,3,6,1,,7,8,3,2,0,0,0,1,0,0,0,0,2,5,2,4,2,2,2,4,2,3,1,2,2,2,,1,2,2,0,2,2,6,6,2.07814454,0.891733712,0.933840239
