NFCSID,A1(筛选value=1,A3,B2_1（整理所有B_2）,B2_2,B2_3,B2_4,B2_5,B2_7,B2_20,B2_21,B2_23,B2_24,B2_25,B30,B4,B10,C22_3,C24,D2,D21,D30,G1,G30_1,G30_2,G30_3,G7,S_Income
2021010970,1,1,1,2,98,1,98,2,2,2,2,2,2,1,5,2,3,98,2,1,3,5,2,3,1,98,1
2021010982,1,1,1,2,2,2,2,2,2,2,2,2,2,3,1,3,3,98,4,3,3,2,1,3,2,1,1
2021011010,1,1,2,2,1,2,2,2,2,98,2,2,2,5,7,1,1,2,4,3,3,9,1,3,1,1,2
2021011016,1,1,2,2,1,2,1,2,1,2,2,2,2,4,9,3,1,5,3,3,3,3,1,3,1,1,3
2021011017,1,1,1,2,2,2,2,2,2,1,1,2,2,1,2,2,1,1,3,1,3,10,1,3,2,1,2
2021011027,1,1,1,1,1,1,2,1,2,2,2,2,2,2,7,3,3,6,98,3,3,6,2,2,2,98,2
2021011036,1,1,1,1,1,1,2,2,2,1,2,2,2,5,5,3,2,3,3,1,98,9,2,3,1,1,1
2021011060,1,1,2,2,1,2,2,2,2,2,2,2,2,5,7,3,2,1,3,3,3,6,1,3,1,1,2
2021011062,1,1,1,2,2,1,2,1,2,1,1,2,2,2,4,3,2,1,4,1,1,6,3,3,2,98,3
2021011070,1,1,1,1,1,1,98,98,1,98,98,98,98,2,4,98,98,5,5,1,3,10,99,98,3,98,1
2021011075,1,1,1,2,2,2,1,1,2,2,2,2,2,5,7,3,3,1,3,1,3,8,3,3,1,1,2
2021011078,1,1,1,2,2,2,2,2,2,2,2,2,2,1,6,2,3,3,98,1,1,5,3,3,1,1,3
2021011091,1,1,1,98,1,98,2,2,2,98,2,2,98,3,1,3,2,1,3,1,3,6,1,2,1,1,2
2021011106,1,1,2,2,1,2,1,1,1,1,1,1,1,4,1,2,1,2,4,3,2,8,3,3,98,1,1
2021011112,1,1,1,2,2,1,2,2,2,2,1,2,2,5,6,2,3,4,4,1,2,10,3,3,1,2,3
2021011145,1,1,1,2,2,2,2,2,1,2,2,2,2,98,1,3,1,1,3,3,2,8,3,2,1,1,1
2021011157,1,1,1,2,1,1,2,2,2,1,1,2,2,2,4,2,3,98,98,1,1,7,3,3,1,1,3
2021011187,1,1,1,1,2,2,2,2,2,2,2,2,2,5,8,2,3,3,2,2,2,5,3,3,2,1,3
2021011210,1,1,1,2,2,2,2,2,1,2,2,2,2,2,10,3,3,6,6,1,2,10,3,3,3,1,3
2021011251,1,1,1,1,1,2,1,2,1,2,2,2,2,4,3,2,3,4,2,1,1,8,3,3,2,99,2
2021011268,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,99,3,5,99,99,99,7,99,99,99,99,2
2021011272,1,1,1,2,1,1,2,2,1,2,2,2,2,5,3,2,3,1,3,1,2,8,1,3,2,1,1
2021011281,1,1,1,2,2,1,1,2,2,2,2,2,2,4,6,3,3,2,3,1,3,7,2,3,2,1,3
2021011289,1,1,1,2,1,2,2,2,2,2,2,2,2,5,9,3,3,1,4,98,3,8,1,3,1,1,2
2021011303,1,1,1,2,1,2,2,2,1,2,2,2,1,4,9,2,3,3,5,3,3,9,2,3,2,2,3
2021011320,1,1,1,2,1,1,2,2,2,2,2,2,2,5,6,2,3,2,3,1,3,8,2,3,1,1,1
2021011322,1,1,1,2,1,1,2,2,2,2,2,2,2,3,7,2,3,3,4,1,3,9,2,3,1,1,2
2021011324,1,1,1,2,1,2,98,98,1,2,2,2,2,5,5,4,1,4,3,3,3,1,3,3,1,2,1
2021011372,1,1,1,2,98,98,2,2,2,2,2,2,2,2,7,2,2,98,5,98,98,7,2,2,3,2,3
2021011407,1,1,1,2,2,2,1,2,2,2,2,2,2,5,4,3,2,2,98,1,2,7,2,3,1,1,1
2021011417,1,1,1,1,1,1,2,2,2,1,1,2,2,2,9,2,3,1,6,1,3,10,3,3,3,1,1
2021011428,1,1,2,2,1,2,1,2,1,2,2,2,2,5,7,3,1,4,3,3,3,5,1,3,1,2,2
2021011468,1,1,1,1,1,1,98,2,2,2,1,2,2,4,98,1,3,1,98,3,98,8,3,3,2,2,3
2021011505,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,3,1,2,3,1,3,9,1,3,2,1,3
2021011511,1,1,1,2,1,2,1,2,1,1,2,1,2,2,7,1,3,5,4,2,2,10,1,3,2,1,3
2021011555,1,1,1,1,1,2,2,2,2,2,2,2,2,4,8,3,1,98,98,98,1,8,2,3,1,1,3
2021011693,1,1,1,1,1,2,2,2,2,1,2,2,2,5,7,2,3,2,3,1,3,9,2,3,2,1,3
2021011753,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,2,3,4,4,2,3,7,3,3,2,1,2
2021011796,1,1,1,2,2,1,2,2,2,2,1,2,2,98,99,1,3,1,98,3,3,10,1,3,1,1,2
2021011846,1,1,1,1,1,1,2,2,1,2,2,2,2,5,9,2,3,3,3,1,3,10,1,3,2,1,2
2021011858,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,3,3,2,2,3,1,3,3,2,2,2,1
2021011859,1,1,1,2,2,2,2,2,1,98,2,2,1,5,5,2,2,2,4,98,98,6,98,2,2,1,1
2021011862,1,1,1,1,1,2,2,2,2,1,2,1,1,5,6,2,3,98,2,1,2,6,2,3,1,1,2
2021011875,1,1,1,2,1,1,2,2,2,2,2,2,2,5,9,2,1,3,3,3,3,7,2,3,2,2,2
2021011877,1,1,1,2,1,2,2,2,2,2,2,2,2,5,10,3,1,1,4,3,3,8,1,1,1,1,2
2021011879,1,1,1,1,1,2,2,2,2,1,1,2,2,5,6,3,3,2,3,1,2,5,2,3,1,2,3
2021011880,1,1,1,1,2,2,2,2,2,2,2,2,2,2,99,98,98,99,98,98,98,98,2,2,98,98,3
2021011883,1,1,2,2,1,2,2,2,1,2,2,2,2,5,7,4,1,4,3,3,3,9,1,3,1,1,2
2021011887,1,1,2,2,1,2,98,2,1,2,2,2,2,5,8,2,1,3,3,3,3,7,2,3,1,1,3
2021011920,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,3,3,1,2,1,3,6,2,3,1,1,3
2021011922,1,1,1,2,1,2,1,2,1,2,2,2,2,5,7,3,1,98,3,3,3,4,1,2,1,1,2
2021011944,1,1,1,2,2,2,2,2,2,2,2,2,2,5,99,3,1,99,98,3,3,7,1,3,1,1,2
2021011946,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,3,1,2,3,2,1,1,3,1,2,2,1
2021011952,1,1,1,2,2,2,2,2,1,2,1,2,2,3,4,2,3,5,3,1,3,9,2,3,2,1,1
2021011956,1,1,1,1,1,1,2,2,1,2,2,2,2,5,8,3,2,3,4,98,2,7,2,3,2,2,2
2021011965,1,1,1,1,1,1,2,2,1,2,2,2,2,5,4,3,1,98,98,3,98,5,1,2,1,1,1
2021011968,1,1,1,2,2,2,2,2,2,2,2,2,98,4,5,3,1,1,3,3,3,6,1,3,1,1,1
2021011981,1,1,1,2,2,2,2,2,2,2,2,2,2,5,5,1,2,2,3,1,2,5,2,3,2,1,1
2021011990,1,1,1,2,1,2,2,2,2,1,2,2,2,4,7,1,3,2,5,2,2,6,3,3,2,1,3
2021011993,1,1,1,2,1,2,2,2,2,2,2,2,2,5,6,3,3,4,3,3,1,7,2,2,1,2,1
2021012003,1,1,1,1,1,2,1,2,2,2,2,2,2,2,7,1,2,3,4,1,2,10,1,2,2,1,3
2021012013,1,1,2,2,1,2,2,2,2,2,2,2,2,5,99,2,2,4,4,1,3,10,3,2,2,1,1
2021012033,1,1,1,2,2,2,2,2,2,2,2,2,2,4,4,3,3,2,2,3,3,6,1,2,3,2,2
2021012047,1,1,2,2,1,2,2,2,1,2,2,2,2,5,1,3,1,2,2,98,98,7,1,3,1,1,2
2021012049,1,1,1,2,1,2,1,2,2,2,2,2,2,3,4,2,3,3,3,1,2,7,2,3,1,1,3
2021012051,1,1,1,1,2,2,2,98,2,98,2,2,2,2,1,3,3,2,2,98,2,5,2,3,1,98,1
2021012071,1,1,1,98,1,2,1,2,2,2,2,2,2,5,7,3,3,1,3,1,3,8,2,3,1,1,3
2021012072,1,1,2,2,1,2,2,2,2,2,2,2,2,98,7,3,3,1,98,3,3,8,2,2,1,1,1
2021012102,1,1,1,2,2,2,2,2,1,2,2,2,2,5,2,3,3,1,3,1,3,7,3,3,2,1,2
2021012103,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,2,2,2,3,3,3,7,2,2,1,1,2
2021012106,1,1,1,2,2,2,1,2,1,2,2,2,2,5,1,4,1,2,2,3,98,4,2,3,3,1,3
2021012109,1,1,2,2,1,2,2,2,2,98,2,2,2,4,7,2,1,98,3,98,98,4,2,3,1,98,2
2021012114,1,1,2,2,2,2,1,2,2,2,2,2,2,3,3,3,1,98,98,98,3,4,2,2,1,1,1
2021012126,1,1,1,1,1,2,1,2,2,2,2,2,2,5,6,3,1,2,3,3,3,6,1,2,1,1,1
2021012129,1,1,1,2,2,2,2,2,1,2,2,2,2,5,5,3,2,1,2,1,2,7,2,3,1,2,2
2021012132,1,1,2,2,1,2,2,2,1,2,2,2,2,4,5,4,2,5,3,3,98,7,3,3,1,1,2
2021012152,1,1,1,2,2,2,2,2,1,2,1,2,2,5,6,2,3,1,2,98,2,7,2,2,1,98,2
